page,id,format,pgfplots,plot,model,path
19,page-19-q2-i-blank,tikz,False,False,True,linear-complete-page-19/0/content/children/0/questionDiagrams/0
19,page-19-q2-i-solution-diagram,tikz,False,False,False,linear-complete-page-19/0/content/children/0/solutionDiagrams/0
19,page-19-q2-i-solution,tikz,False,False,True,linear-complete-page-19/0/content/children/0/answer/solutionDiagrams/0
19,page-19-q2-j-blank,tikz,False,False,True,linear-complete-page-19/0/content/children/1/questionDiagrams/0
19,page-19-q2-j-solution-diagram,tikz,False,False,False,linear-complete-page-19/0/content/children/1/solutionDiagrams/0
19,page-19-q2-j-solution,tikz,False,False,True,linear-complete-page-19/0/content/children/1/answer/solutionDiagrams/0
19,page-19-q2-k-blank,tikz,False,False,True,linear-complete-page-19/0/content/children/2/questionDiagrams/0
19,page-19-q2-k-solution-diagram,tikz,False,False,False,linear-complete-page-19/0/content/children/2/solutionDiagrams/0
19,page-19-q2-k-solution,tikz,False,False,True,linear-complete-page-19/0/content/children/2/answer/solutionDiagrams/0
19,page-19-q2-l-blank,tikz,False,False,True,linear-complete-page-19/0/content/children/3/questionDiagrams/0
19,page-19-q2-l-solution-diagram,tikz,False,False,False,linear-complete-page-19/0/content/children/3/solutionDiagrams/0
19,page-19-q2-l-solution,tikz,False,False,True,linear-complete-page-19/0/content/children/3/answer/solutionDiagrams/0
20,page-20-q2-m-blank,tikz,False,False,True,linear-complete-page-20/0/content/children/0/questionDiagrams/0
20,page-20-q2-m-solution-diagram,tikz,False,False,False,linear-complete-page-20/0/content/children/0/solutionDiagrams/0
20,page-20-q2-m-solution,tikz,False,False,True,linear-complete-page-20/0/content/children/0/answer/solutionDiagrams/0
20,page-20-q2-n-blank,tikz,False,False,True,linear-complete-page-20/0/content/children/1/questionDiagrams/0
20,page-20-q2-n-solution-diagram,tikz,False,False,False,linear-complete-page-20/0/content/children/1/solutionDiagrams/0
20,page-20-q2-n-solution,tikz,False,False,True,linear-complete-page-20/0/content/children/1/answer/solutionDiagrams/0
20,page-20-q2-o-blank,tikz,False,False,True,linear-complete-page-20/0/content/children/2/questionDiagrams/0
20,page-20-q2-o-solution-diagram,tikz,False,False,False,linear-complete-page-20/0/content/children/2/solutionDiagrams/0
20,page-20-q2-o-solution,tikz,False,False,True,linear-complete-page-20/0/content/children/2/answer/solutionDiagrams/0
20,page-20-q2-p-blank,tikz,False,False,True,linear-complete-page-20/0/content/children/3/questionDiagrams/0
20,page-20-q2-p-solution-diagram,tikz,False,False,False,linear-complete-page-20/0/content/children/3/solutionDiagrams/0
20,page-20-q2-p-solution,tikz,False,False,True,linear-complete-page-20/0/content/children/3/answer/solutionDiagrams/0
21,page-21-q3-a-blank,tikz,False,False,True,linear-complete-page-21/0/content/children/0/questionDiagrams/0
